year,country,region,happiness_rank,happiness_score,standard_error_of_happiness_score,lower_confidence_interval,upper_confidence_interval,dystopia_residual,explained_by_freedom_to_make_life_choices,explained_by_gdp_per_capita,explained_by_generosity,explained_by_healthy_life_expectancy,explained_by_perceptions_of_corruption,explained_by_social_support,freedom_to_make_life_choices,generosity,healthy_life_expectancy,perceptions_of_corruption,social_support,logged_gdp_per_capita,ladder_score_in_dystopia,id
2020,Benin,Sub-Saharan Africa,86,5.21600008,0.077759244,5.063591957,5.368408203,3.440809727,0.40583989,0.366244704,0.196670428,0.328062952,0.125931874,0.352428436,0.735182583,-0.003537213,54.31246567,0.740532577,0.468671143,7.674319744,1.972316742,204
2020,Maldives,South Asia,87,5.197599888,0.071985401,5.056508541,5.338691235,1.098674774,0.548203647,0.937864304,0.224198252,0.914439559,0.071906492,1.402287602,0.853962779,0.038085498,70.59999847,0.824211061,0.91316092,9.518632889,1.972316742,462
2020,Congo,Sub-Saharan Africa,88,5.194399834,0.077028967,5.043423176,5.345376492,2.722619534,0.386514395,0.633616745,0.117216013,0.458101124,0.118670784,0.757636011,0.719058514,-0.123674095,57.92448044,0.751779079,0.640228093,8.536987305,1.972316742,178
2020,Congo,Sub-Saharan Africa,88,5.194399834,0.077028967,5.043423176,5.345376492,2.722619534,0.386514395,0.633616745,0.117216013,0.458101124,0.118670784,0.757636011,0.719058514,-0.123674095,57.92448044,0.751779079,0.640228093,8.536987305,1.972316742,180
2020,Azerbaijan,Central and East Europe,89,5.164800167,0.034197241,5.097773552,5.231826782,1.507632971,0.467734724,0.990272701,0.040113214,0.731134057,0.247307181,1.180613041,0.786824107,-0.240255281,65.50839996,0.55253756,0.819308281,9.687726974,1.972316742,31
2020,Macedonia,Central and East Europe,90,5.159800053,0.046761535,5.068147659,5.251452446,1.6175949570000001,0.410224587,0.935371995,0.18586354,0.802994132,0.024595059,1.183173537,0.738840938,-0.019877451,67.50442505,0.897490501,0.820392311,9.5105915069999991,1.972316742,807
2020,Ghana,Sub-Saharan Africa,91,5.147999763,0.058634609,5.033075809,5.262923717,2.378437281,0.477290064,0.575862467,0.261291206,0.432162255,0.056570381,0.96636796,0.794796526,0.094170853,57.20398712,0.847964764,0.728601098,8.350645065,1.972316742,288
2020,Nepal,South Asia,92,5.137199879,0.057692084,5.024123192,5.250276566,2.014386892,0.480608255,0.444050372,0.300971806,0.66887939,0.127502963,1.100789309,0.797565043,0.154168829,63.77917862,0.738099158,0.785512447,7.925357342,1.972316742,524
2020,Turkey,Middle East and North Africa,93,5.131800175,0.039838459,5.05371666,5.20988369,1.564816713,0.25440076,1.127169251,0.085885569,0.781335294,0.120983243,1.197159171,0.608830452,-0.171046436,66.90281677,0.748197377,0.826313555,10.12941933,1.972316742,792
2020,China,East Asia,94,5.123899937,0.025901664,5.073132515,5.174667358,1.336181879,0.601605117,0.990533412,0.079021044,0.867248535,0.117255554,1.132080674,0.898517907,-0.18142575,69.2891922,0.7539711,0.798760593,9.688568115,1.972316742,156
2020,Turkmenistan,Central and East Europe,95,5.119100094,0.029379817,5.061515808,5.17668438,1.115337372,0.515236676,1.008963585,0.323129326,0.612448037,0.03350389,1.510476947,0.826457024,0.187671542,62.21170807,0.883691847,0.958966196,9.74803257,1.972316742,795
2020,Bulgaria,Central and East Europe,96,5.101500034,0.04422117,5.014826775,5.188173294,1.294961452,0.417820066,1.046554685,0.103833713,0.777776897,0,1.460578918,0.745178163,-0.143908441,66.80397797,0.935585141,0.937840343,9.869318962,1.972316742,100
2020,Morocco,Middle East and North Africa,97,5.094799995,0.05565045,4.985724926,5.203875065,2.378402472,0.450054139,0.75862211,0.040032551,0.745096922,0.077385604,0.645208478,0.772072434,-0.240377247,65.89624023,0.815724611,0.592628479,8.940313339,1.972316742,504
